letterboxd_link,tmdb,title,original_title,poster,trailer,synopsis,year,ignore_me,rating
spider-man-far-from-home,429617,Spider-Man: Far from Home,Spider-Man: Far from Home,/4q2NNj4S5dG2RLF9CpXsej7yXl.jpg,,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.",2019,0,-1.0
midsommar,530385,Midsommar,Midsommar,/7LEI8ulZzO5gy9Ww2NVCrKmHeDZ.jpg,,"Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities.",2019,0,-1.0
toy-story-4,301528,Toy Story 4,Toy Story 4,/w9kR8qbmQ01HwnvK4alvnQ2ca0L.jpg,,"Woody has always been confident about his place in the world and that his priority is taking care of his kid, whether that's Andy or Bonnie. But when Bonnie adds a reluctant new toy called ""Forky"" to her room, a road trip adventure alongside old and new friends will show Woody how big the world can be for a toy.",2019,0,-1.0
dark-phoenix,320288,Dark Phoenix,Dark Phoenix,/cCTJPelKGLhALq3r51A9uMonxKj.jpg,,"The X-Men face their most formidable and powerful foe when one of their own, Jean Grey, starts to spiral out of control. During a rescue mission in outer space, Jean is nearly killed when she's hit by a mysterious cosmic force. Once she returns home, this force not only makes her infinitely more powerful, but far more unstable. The X-Men must now band together to save her soul and battle aliens that want to use Grey's new abilities to rule the galaxy.",2019,0,-1.0
godzilla-king-of-the-monsters-2019,373571,Godzilla: King of the Monsters,Godzilla: King of the Monsters,/pU3bnutJU91u3b4IeRPQTOP8jhV.jpg,,"Follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species, thought to be mere myths, rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance.",2019,0,-1.0
parasite-2019,496243,Parasite,기생충,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",2019,0,-1.0
once-upon-a-time-in-hollywood,466272,Once Upon a Time… in Hollywood,Once Upon a Time… in Hollywood,/8j58iEBw9pOXFD2L0nt0ZXeHviB.jpg,,"Los Angeles, 1969. TV star Rick Dalton, a struggling actor specializing in westerns, and stuntman Cliff Booth, his best friend, try to survive in a constantly changing movie industry. Dalton is the neighbor of the young and promising actress and model Sharon Tate, who has just married the prestigious Polish director Roman Polanski…",2019,0,-1.0
the-lighthouse-2019,503919,The Lighthouse,The Lighthouse,/3nk9UoepYmv1G9oP18q6JJCeYwN.jpg,,Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.,2019,0,-1.0
rocketman-2019,504608,Rocketman,Rocketman,/f4FF18ia7yTvHf2izNrHqBmgH8U.jpg,,"The story of Elton John's life, from his years as a prodigy at the Royal Academy of Music through his influential and enduring musical partnership with Bernie Taupin.",2019,0,-1.0
pokemon-detective-pikachu,447404,Pokémon Detective Pikachu,Pokémon Detective Pikachu,/wgQ7APnFpf1TuviKHXeEe3KnsTV.jpg,,"In a world where people collect pocket-size monsters (Pokémon) to do battle, a boy comes across an intelligent monster who seeks to be a detective.",2019,0,-1.0
