letterboxd_link,tmdb,title,original_title,poster,trailer,synopsis,year,ignore_me,rating
ghostbusters-2016,43074,Ghostbusters,Ghostbusters,/wJmWliwXIgZOCCVOcGRBhce7xPS.jpg,,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",2016,0,-1.0
colossal-2016,339967,Colossal,Colossal,/4VOyofBd1pexblxtDZYtYIk7NI4.jpg,,A woman discovers that severe catastrophic events are somehow connected to the mental breakdown from which she's suffering.,2016,0,-1.0
hell-or-high-water,338766,Hell or High Water,Hell or High Water,/ljRRxqy2aXIkIBXLmOVifcOR021.jpg,,A divorced dad and his ex-con brother resort to a desperate scheme in order to save their family's farm in West Texas.,2016,0,-1.0
captain-america-civil-war,271110,Captain America: Civil War,Captain America: Civil War,/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg,,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",2016,0,-1.0
batman-v-superman-dawn-of-justice,209112,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,/5UsK3grJvtQrtzEgqNlDljJW96w.jpg,,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",2016,0,-1.0
midnight-special,245703,Midnight Special,Midnight Special,/heEe6NFekVHs23OKFtqhovyOMXQ.jpg,,A father and son go on the run after the dad learns his child possesses special powers.,2016,0,-1.0
hail-caesar-2016,270487,"Hail, Caesar!","Hail, Caesar!",/c51ClzJhLfPVhIaIqt9ybbDCFkn.jpg,,"When a Hollywood star mysteriously disappears in the middle of filming, the studio sends their ""fixer"" to get him back. Set in the 1950s, the story was inspired by the career of Eddie Mannix (1891–1963).",2016,0,-1.0
swiss-army-man,347031,Swiss Army Man,Swiss Army Man,/8pxn8CQ6SD6tly75lrKw08wfZKv.jpg,,"Alone on a tiny deserted island, Hank has given up all hope of ever making it home again. But one day everything changes when a dead body washes ashore, and he soon realizes it may be his last opportunity to escape certain death. Armed with his new “friend” and an unusual bag of tricks, the duo go on an epic adventure to bring Hank back to the woman of his dreams.",2016,0,-1.0
oj-made-in-america,377462,O.J.: Made in America,O.J.: Made in America,/oqEoJejmAFGIlPbLEvr52neqpmk.jpg,,"A chronicle of the rise and fall of O.J. Simpson, whose high-profile murder trial exposed the extent of American racial tensions, revealing a fractured and divided nation.",2016,1,-1.0
the-hateful-eight,273248,The Hateful Eight,The Hateful Eight,/nZeKw2oDiODgnht9OrohB2jBhjq.jpg,,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,2015,0,-1.0
the-big-short,318846,The Big Short,The Big Short,/isuQWbJPbjybBEWdcCaBUPmU0XO.jpg,,The men who made millions from a global economic meltdown.,2015,0,-1.0
ant-man,102899,Ant-Man,Ant-Man,/rQRnQfUl3kfp78nCWq8Ks04vnq1.jpg,,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",2015,0,-1.0
terminator-genisys,87101,Terminator Genisys,Terminator Genisys,/oZRVDpNtmHk8M1VYy1aeOWUXgbC.jpg,,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.",2015,0,-1.0
mad-max-fury-road,76341,Mad Max: Fury Road,Mad Max: Fury Road,/8tZYtuWezp8JbcsvHYO0O46tFbo.jpg,,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",2015,0,-1.0
avengers-age-of-ultron,99861,Avengers: Age of Ultron,Avengers: Age of Ultron,/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",2015,0,-1.0
chappie,198184,Chappie,Chappie,/18IydtBgq8aJZpbP6NxCAGjHhae.jpg,,"Every child comes into the world full of promise, and none more so than Chappie: he is gifted, special, a prodigy. Like any child, Chappie will come under the influence of his surroundings—some good, some bad—and he will rely on his heart and soul to find his way in the world and become his own man. But there's one thing that makes Chappie different from any one else: he is a robot.",2015,0,-1.0
john-wick,245891,John Wick,John Wick,/fZPSd91yGE9fCcCe6OoQr6E3Bev.jpg,,Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.,2014,0,-1.0
inherent-vice,171274,Inherent Vice,Inherent Vice,/7XhdTcivvkNcdAXrEijgh0Eoabb.jpg,,"In Los Angeles at the turn of the 1970s, drug-fueled detective Larry ""Doc"" Sportello investigates the disappearance of an ex-girlfriend.",2014,0,-1.0
guardians-of-the-galaxy,118340,Guardians of the Galaxy,Guardians of the Galaxy,/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg,,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",2014,0,-1.0
lucy-2014,240832,Lucy,Lucy,/kRbpUTRNm6QbLQFPFWUcNC4czEm.jpg,,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",2014,0,-1.0
22-jump-street,187017,22 Jump Street,22 Jump Street,/ajB6cGvoy04438RzvfO6Sz28yMK.jpg,,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them.",2014,0,-1.0
foxcatcher,87492,Foxcatcher,Foxcatcher,/gRd4DrZEzdCEl4F7idWLqN9fHog.jpg,,The greatest Olympic Wrestling Champion brother team joins Team Foxcatcher led by multimillionaire sponsor John E. du Pont as they train for the 1988 games in Seoul - a union that leads to unlikely circumstances.,2014,0,-1.0
godzilla-2014,124905,Godzilla,Godzilla,/6R0xEIeXpOJt3vg1SsQuJkOKBWu.jpg,,"Ford Brody, a Navy bomb expert, has just reunited with his family in San Francisco when he is forced to go to Japan to help his estranged father, Joe. Soon, both men are swept up in an escalating crisis when an ancient alpha predator arises from the sea to combat malevolent adversaries that threaten the survival of humanity. The creatures leave colossal destruction in their wake, as they make their way toward their final battleground: San Francisco.",2014,0,-1.0
captain-america-the-winter-soldier,100402,Captain America: The Winter Soldier,Captain America: The Winter Soldier,/wxwt0pLxFZwKzy7pAu8WixadwqO.jpg,,"After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.",2014,0,-1.0
neighbors-2014,195589,Neighbors,Neighbors,/dyO9BQ4M4flTOAzP79rmsz61yAT.jpg,,A couple with a newborn baby face unexpected difficulties after they are forced to live next to a fraternity house.,2014,0,-1.0
the-wolf-of-wall-street,106646,The Wolf of Wall Street,The Wolf of Wall Street,/sOxr33wnRuKazR9ClHek73T8qnK.jpg,,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",2013,0,-1.0
her,152601,Her,Her,/yk4J4aewWYNiBhD49WD7UaBBn37.jpg,,"In the not so distant future, Theodore, a lonely writer purchases a newly developed operating system designed to meet the user's every needs. To Theodore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",2013,0,-1.0
under-the-skin-2013,97370,Under the Skin,Under the Skin,/uyrdntUMKMkFoaEjHfVz56E5NQs.jpg,,A seductive alien prowls the streets of Glasgow in search of prey: unsuspecting men who fall under her spell.,2013,0,-1.0
snowpiercer,110415,Snowpiercer,Snowpiercer,/rOBMxkRXaTZypGulL8GEOYKJs63.jpg,,"In a future where a failed global-warming experiment kills off most life on the planet, a class system evolves aboard the Snowpiercer, a train that travels around the globe via a perpetual-motion engine.",2013,0,-1.0
oz-the-great-and-powerful,68728,Oz the Great and Powerful,Oz the Great and Powerful,/7lBgN59T5m1DaC9XcLkHOXdK9ax.jpg,,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",2013,0,-1.0
gangster-squad,82682,Gangster Squad,Gangster Squad,/vGJgGTOqJMRwjIGvLc0A1EYX7cG.jpg,,"Los Angeles, 1949. Ruthless, Brooklyn-born mob king Mickey Cohen runs the show in this town, reaping the ill-gotten gains from the drugs, the guns, the prostitutes and — if he has his way — every wire bet placed west of Chicago. And he does it all with the protection of not only his own paid goons, but also the police and the politicians who are under his control. It’s enough to intimidate even the bravest, street-hardened cop… except, perhaps, for the small, secret crew of LAPD outsiders led by Sgt. John O’Mara and Jerry Wooters who come together to try to tear Cohen’s world apart.",2013,0,-1.0
movie-43,87818,Movie 43,Movie 43,/uYa06GxHsCsELx9vOQ11vsT0Aa6.jpg,,A series of interconnected short films follows a washed-up producer as he pitches insane story lines featuring some of the biggest stars in Hollywood.,2013,0,-1.0
django-unchained,68718,Django Unchained,Django Unchained,/yK0qrQhi3BbOXvTNOBWHgpcbckZ.jpg,,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",2012,0,-1.0
lincoln,72976,Lincoln,Lincoln,/oosQMP9sh9LF2xR2eKcQ1iSscWM.jpg,,"The revealing story of the 16th US President's tumultuous final months in office. In a nation divided by war and the strong winds of change, Lincoln pursues a course of action designed to end the war, unite the country and abolish slavery. With the moral courage and fierce determination to succeed, his choices during this critical moment will change the fate of generations to come.",2012,0,-1.0
wreck-it-ralph,82690,Wreck-It Ralph,Wreck-It Ralph,/j8M1kHBAXa6KFNzGnWtdsVsLUro.jpg,,"Wreck-It Ralph is the 9-foot-tall, 643-pound villain of an arcade video game named Fix-It Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a good guy and not just a villain, Ralph escapes his game and lands in Hero's Duty, a first-person shooter where he helps the game's hero battle against alien invaders. He later enters Sugar Rush, a kart racing game set on tracks made of candies, cookies and other sweets. There, Ralph meets Vanellope von Schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that Ralph may have inadvertently started.",2012,0,-1.0
skyfall,37724,Skyfall,Skyfall,/eGUEpL4kj30qV1JOazNzMRczR9r.jpg,,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",2012,0,-1.0
the-master-2012,68722,The Master,The Master,/rUSjbyvYWN9H4az8xt0tDtU7I6v.jpg,,"Freddie, a volatile, heavy-drinking veteran who suffers from post-traumatic stress disorder, finds some semblance of a family when he stumbles onto the ship of Lancaster Dodd, the charismatic leader of a new ""religion"" he forms after World War II.",2012,0,-1.0
the-dark-knight-rises,49026,The Dark Knight Rises,The Dark Knight Rises,/85cWkCVftiVs0BVey6pxX8uNmLt.jpg,,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",2012,0,-1.0
ted,72105,Ted,Ted,/osJNr64CNyGhCzdlg6oHt3a6vNA.jpg,,"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear or his girlfriend, Lori.",2012,0,-1.0
the-avengers-2012,24428,The Avengers,The Avengers,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",2012,0,-1.0
21-jump-street,64688,21 Jump Street,21 Jump Street,/8v3Sqv9UcIUC4ebmpKWROqPBINZ.jpg,,"In high school, Schmidt was a dork and Jenko was the popular jock. After graduation, both of them joined the police force and ended up as partners riding bicycles in the city park. Since they are young and look like high school students, they are assigned to an undercover unit to infiltrate a drug ring that is supplying high school students synthetic drugs.",2012,0,-1.0
the-girl-with-the-dragon-tattoo-2011,65754,The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo,/vbLedKc1BUF4FOH1GyHW62FulCc.jpg,,"This English-language adaptation of the Swedish novel by Stieg Larsson follows a disgraced journalist, Mikael Blomkvist, as he investigates the disappearance of a weary patriarch's niece from 40 years ago. He is aided by the pierced, tattooed, punk computer hacker named Lisbeth Salander. As they work together in the investigation, Blomkvist and Salander uncover immense corruption beyond anything they have ever imagined.",2011,0,-1.0
sherlock-holmes-a-game-of-shadows,58574,Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows,/y1MYZkwhZK6L0Jy4YMuPktzDOfn.jpg,,"There is a new criminal mastermind at large (Professor Moriarty) and not only is he Holmes’ intellectual equal, but his capacity for evil and lack of conscience may give him an advantage over the  detective.",2011,0,-1.0
haywire,70435,Haywire,Haywire,/c9fJ0dYC30NnE9k2p61c0dqlZqW.jpg,,"Mallory Kane is a highly trained operative who works for a government security contractor in the dirtiest, most dangerous corners of the world. After successfully freeing a Chinese journalist held hostage, she is double crossed and left for dead by someone close to her in her own agency. Suddenly the target of skilled assassins who know her every move, Mallory must find the truth in order to stay alive.",2011,0,-1.0
moneyball,60308,Moneyball,Moneyball,/4yIQq1e6iOcaZ5rLDG3lZBP3j7a.jpg,,"The story of Oakland Athletics general manager Billy Beane's successful attempt to put together a baseball team on a budget, by employing computer-generated analysis to draft his players.",2011,0,-1.0
thor,10195,Thor,Thor,/prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg,,"Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",2011,0,-1.0
the-green-hornet,40805,The Green Hornet,The Green Hornet,/rTU8mxFJasWIiG73GTmwHQy24Ir.jpg,,"Britt Reid (Seth Rogen), the heir to the largest newspaper fortune in Los Angeles, is a spoiled playboy who has been, thus far, happy to lead an aimless life. After his father (Tom Wilkinson) dies, Britt meets Kato (Jay Chou), a resourceful company employee. Realizing that they have the talent and resources to make something of their lives, Britt and Kato join forces as costumed crime-fighters to bring down the city's most-powerful criminal, Chudnofsky (Christoph Waltz).",2011,0,-1.0
true-grit-2010,44264,True Grit,True Grit,/krK7cQms3FlJ3HPkvXC3YyEFP2K.jpg,,"Following the murder of her father by a hired hand, a 14-year-old farm girl sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find—a man with 'true grit'—Reuben J. 'Rooster' Cogburn.",2010,0,-1.0
due-date,41733,Due Date,Due Date,/A0AoOIMjpx6UphAbMZXN02De6ZE.jpg,,"Peter Highman must scramble across the US in five days to be present for the birth of his first child. He gets off to a bad start when his wallet and luggage are stolen, and put on the 'no-fly' list. Peter embarks on a terrifying journey when he accepts a ride from an actor.",2010,0,-1.0
jackass-3d,16290,Jackass 3D,Jackass 3D,/tE9lFSCecv60Rl1DNUMj3urTxda.jpg,,"Jackass 3D is a 3-D film and the third movie of the Jackass series. It follows the same premise as the first two movies, as well as the TV series. It is a compilation of various pranks, stunts and skits. Before the movie begins, a brief introduction is made by Beavis and Butt-head explaining the 3D technology behind the movie. The intro features the cast lining up and then being attacked by various objects in slow-motion. The movie marks the 10th anniversary of the franchise, started in 2000.",2010,1,-1.0
easy-a,37735,Easy A,Easy A,/pYeY5lBudgWAunG4qlsWCA3PlxM.jpg,,"Olive, an average high school student, sees her below-the-radar existence turn around overnight once she decides to use the school's gossip grapevine to advance her social standing. Now her classmates are turning against her and the school board is becoming concerned, including her favorite teacher and the distracted guidance counselor. With the support of her hilariously idiosyncratic parents and a little help from a long-time crush, Olive attempts to take on her notorious new identity and crush the rumor mill once and for all.",2010,0,-1.0
scott-pilgrim-vs-the-world,22538,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,/g5IoYeudx9XBEfwNL0fHvSckLBz.jpg,,"Scott Pilgrim is a 22 year old radical Canadian wannabe rockstar who falls in love with an American delivery girl, Ramona Flowers, and must defeat her seven evil exes to be able to date her.",2010,0,-1.0
toy-story-3,10193,Toy Story 3,Toy Story 3,/4cpGytCB0eqvRks4FAlJoUJiFPG.jpg,,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",2010,0,-1.0
certified-copy,48303,Certified Copy,Copie conforme,/soBvtCR33Gv1j6gXwXOIc3JTlNc.jpg,,"In Tuscany to promote his latest book, a middle-aged English writer meets a French woman who leads him to the village of Lucignano.",2010,0,-1.0
sherlock-holmes-2009,10528,Sherlock Holmes,Sherlock Holmes,/momkKuWburNTqKBF6ez7rvhYVhE.jpg,,"Eccentric consulting detective, Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.",2009,0,-1.0
avatar,19995,Avatar,Avatar,/6EiRUJpuoeQPghrs3YNktfnqOVh.jpg,,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",2009,0,-1.0
where-the-wild-things-are,16523,Where the Wild Things Are,Where the Wild Things Are,/sDFV9VEjwTUWF1s5sjOllsb70jk.jpg,,"Max imagines running away from his mom and sailing to a far-off land where large talking beasts -- Ira, Carol, Douglas, the Bull, Judith and Alexander -- crown him as their king, play rumpus, build forts and discover secret hideaways.",2009,0,-1.0
the-invention-of-lying,23082,The Invention of Lying,The Invention of Lying,/nYFhVR3fQBjPaDOUPVZrPIj3kni.jpg,,"Set in a world where the concept of lying doesn't exist, a loser changes his lot when he invents lying and uses it to get ahead.",2009,0,-1.0
public-enemies-2009,11322,Public Enemies,Public Enemies,/3KgtekisQBrHRsm2cD5UOB6Ce3k.jpg,,"Depression-era bank robber John Dillinger's charm and audacity endear him to much of America's downtrodden public, but he's also a thorn in the side of J. Edgar Hoover and the fledgling FBI. Desperate to capture the elusive outlaw, Hoover makes Dillinger his first Public Enemy Number One and assigns his top agent, Melvin Purvis, the task of bringing him in dead or alive.",2009,0,-1.0
the-hangover,18785,The Hangover,The Hangover,/jjCPcxw7QCmFPYM1t3BThdEawJK.jpg,,"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.",2009,0,-1.0
up,14160,Up,Up,/6MNW96BHtwwWK74d0tLyxVZBkTs.jpg,,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",2009,0,-1.0
adventureland,16614,Adventureland,Adventureland,/3ovx1gcQeDIW22IF1TqiugKQv3W.jpg,,"In the summer of 1987, a college graduate takes a 'nowhere' job at his local amusement park, only to find it's the perfect course to get him prepared for the real world.",2009,0,-1.0
i-love-you-man,16538,"I Love You, Man","I Love You, Man",/xr4zAYsvgTzvMMiWu6qCAP9WBer.jpg,,"Peter Klaven is a successful real estate agent who, upon getting engaged to the woman of his dreams, Zooey, discovers, to his dismay and chagrin, that he has no male friend close enough to serve as his Best Man. Peter immediately sets out to rectify the situation, embarking on a series of bizarre and awkward ""man-dates.""",2009,0,-1.0
watchmen,13183,Watchmen,Watchmen,/aZvOkdo203bm1kpcY0A0Tn074ER.jpg,,"In a gritty and alternate 1985 the glory days of costumed vigilantes have been brought to a close by a government crackdown, but after one of the masked veterans is brutally murdered, an investigation into the killer is initiated. The reunited heroes set out to prevent their own destruction, but in doing so uncover a sinister plot that puts all of humanity in grave danger.",2009,0,-1.0
in-the-loop,19833,In the Loop,In the Loop,/jL6txnziFSeEifQkqnPBtaPaiXU.jpg,,"The US President and the UK Prime Minister are planning on launching a war in the Middle East, but—behind the scenes—government officials and advisers are either promoting the war or are trying to prevent it.",2009,0,-1.0
the-curious-case-of-benjamin-button,4922,The Curious Case of Benjamin Button,The Curious Case of Benjamin Button,/26wEWZYt6yJkwRVkjcbwJEFh9IS.jpg,,"Born under unusual circumstances, Benjamin Button springs into being as an elderly man in a New Orleans nursing home and ages in reverse. Twelve years after his birth, he meets Daisy, a child who flits in and out of his life as she grows up to be a dancer. Though he has all sorts of unusual adventures over the course of his life, it is his relationship with Daisy, and the hope that they will come together at the right time, that drives Benjamin forward.",2008,0,-1.0
synecdoche-new-york,4960,"Synecdoche, New York","Synecdoche, New York",/ZLNHDNSnBzQlCEjHMsQ7mJU0sX.jpg,,"A theater director struggles with his work, and the women in his life, as he attempts to create a life-size replica of New York inside a warehouse as part of his new play.",2008,0,-1.0
tropic-thunder,7446,Tropic Thunder,Tropic Thunder,/zAurB9mNxfYRoVrVjAJJwGV3sPg.jpg,,"Vietnam veteran 'Four Leaf' Tayback's memoir, Tropic Thunder, is being made into a film, but Director Damien Cockburn can’t control the cast of prima donnas. Behind schedule and over budget, Cockburn is ordered by a studio executive to get filming back on track, or risk its cancellation. On Tayback's advice, Cockburn drops the actors into the middle of the jungle to film the remaining scenes but, unbeknownst to the actors and production, the group have been dropped in the middle of the Golden Triangle, the home of heroin-producing gangs.",2008,0,-1.0
pineapple-express,10189,Pineapple Express,Pineapple Express,/dtXgKvsnGUDwgszTCZEPdzEYL1w.jpg,,A stoner and his dealer are forced to go on the run from the police after the pothead witnesses a cop commit a murder.,2008,0,-1.0
ponyo,12429,Ponyo,崖の上のポニョ,/yp8vEZflGynlEylxEesbYasc06i.jpg,,"The son of a sailor, 5-year old Sosuke lives a quiet life on an oceanside cliff with his mother Lisa. One fateful day, he finds a beautiful goldfish trapped in a bottle on the beach and upon rescuing her, names her Ponyo. But she is no ordinary goldfish. The daughter of a masterful wizard and a sea goddess, Ponyo uses her father's magic to transform herself into a young girl and quickly falls in love with Sosuke, but the use of such powerful sorcery causes a dangerous imbalance in the world. As the moon steadily draws nearer to the earth and Ponyo's father sends the ocean's mighty waves to find his daughter, the two children embark on an adventure of a lifetime to save the world and fulfill Ponyo's dreams of becoming human.",2008,0,-1.0
walle,10681,WALL·E,WALL·E,/3g8vyePqVatTaUSnrNnrrwguhxM.jpg,,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",2008,0,-1.0
get-smart,11665,Get Smart,Get Smart,/c1x9EYmTTe9xTM8DclELORwC1PN.jpg,,"When the identities of secret agents from Control are compromised, the Chief promotes hapless but eager analyst Maxwell Smart and teams him with stylish, capable Agent 99, the only spy whose cover remains intact. Can they work together to thwart the evil plans of KAOS and its crafty operative?",2008,0,-1.0
speed-racer,7459,Speed Racer,Speed Racer,/x800OyHuJ9JDuhHLtdPLkH1vBjw.jpg,,"Speed Racer is the tale of a young and brilliant racing driver. When corruption in the racing leagues costs his brother his life, he must team up with the police and the mysterious Racer X to bring an end to the corruption and criminal activities. Inspired by the cartoon series.",2008,0,-1.0
cloverfield,7191,Cloverfield,Cloverfield,/qIegUGJqyMMCRjkKV1s7A9MqdJ8.jpg,,"Five young New Yorkers throw their friend a going-away party the night that a monster the size of a skyscraper descends upon the city. Told from the point of view of their video camera, the film is a document of their attempt to survive the most surreal, horrifying event of their lives.",2008,0,-1.0
walk-hard-the-dewey-cox-story,6575,Walk Hard: The Dewey Cox Story,Walk Hard: The Dewey Cox Story,/vqIEXsBPWqkuzwtRLSeSFZGYpjN.jpg,,"Following a childhood tragedy, Dewey Cox follows a long and winding road to music stardom. Dewey perseveres through changing musical styles, an addiction to nearly every drug known and bouts of uncontrollable rage.",2007,0,-1.0
the-darjeeling-limited,4538,The Darjeeling Limited,The Darjeeling Limited,/oSW5OVXTulaIXcoNwJAp5YEKpbP.jpg,,"Three American brothers who have not spoken to each other in a year set off on a train voyage across India with a plan to find themselves and bond with each other -- to become brothers again like they used to be. Their ""spiritual quest"", however, veers rapidly off-course (due to events involving over-the-counter pain killers, Indian cough syrup, and pepper spray).",2007,0,-1.0
the-assassination-of-jesse-james-by-the-coward-robert-ford,4512,The Assassination of Jesse James by the Coward Robert Ford,The Assassination of Jesse James by the Coward Robert Ford,/2d1S6fJS80fvseg6mJE8eq5o7Kx.jpg,,"Outlaw Jesse James is rumored to be the 'fastest gun in the West'. An eager recruit into James' notorious gang, Robert Ford eventually grows jealous of the famed outlaw and, when Robert and his brother sense an opportunity to kill James, their murderous action elevates their target to near mythical status.",2007,0,-1.0
superbad,8363,Superbad,Superbad,/ek8e8txUyUwd2BNqj6lFEerJfbq.jpg,,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,2007,0,-1.0
hot-rod,10074,Hot Rod,Hot Rod,/jRkt03dXCVKnbvcQm3ygU1cjg9Y.jpg,,"For Rod Kimball, performing stunts is a way of life, even though he is rather accident-prone. Poor Rod cannot even get any respect from his stepfather, Frank, who beats him up in weekly sparring matches. When Frank falls ill, Rod devises his most outrageous stunt yet to raise money for Frank's operation -- and then Rod will kick Frank's butt.",2007,0,-1.0
the-simpsons-movie,35,The Simpsons Movie,The Simpsons Movie,/a6bdbK0pctG3iGgAZg7EyOCmDod.jpg,,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",2007,0,-1.0
ratatouille,2062,Ratatouille,Ratatouille,/npHNjldbeTHdKKw28bJKs7lzqzj.jpg,,"A rat named Remy dreams of becoming a great French chef despite his family's wishes and the obvious problem of being a rat in a decidedly rodent-phobic profession. When fate places Remy in the sewers of Paris, he finds himself ideally situated beneath a restaurant made famous by his culinary hero, Auguste Gusteau. Despite the apparent dangers of being an unlikely - and certainly unwanted - visitor in the kitchen of a fine French restaurant, Remy's passion for cooking soon sets into motion a hilarious and exciting rat race that turns the culinary world of Paris upside down.",2007,0,-1.0
