tmdb,name
10491,Paul Verhoeven
10517,Clyde Bruckman
10586,Richard Lester
10601,Joseph L. Mankiewicz
10702,Martin Campbell
10707,Terry Jones
10723,Mike Newell
10757,Jane Campion
10781,Michael Apted
10808,Stephen Norrington
10828,Guillermo del Toro
10921,Charles Laughton
10930,Irvin Kershner
10943,Francis Lawrence
10965,Chris Columbus
11012,Michael Dougherty
11090,Edgar Wright
11091,Brett Ratner
11092,Simon Kinberg
11147,John Cassavetes
11151,Nick Cassavetes
11154,Matt Ross
11181,Kenneth Branagh
11218,Alfonso Cuarón
11266,James McTeigue
11343,David Yates
11401,John Woo
11426,Ben Sharpsteen
11427,William Roberts
11428,Paul Satterfield
11429,Hamilton Luske
11430,Jim Handley
11431,Ford Beebe
11432,T. Hee
11434,Wilfred Jackson
11435,Howard Hawks
11447,Albert Hughes
11448,Allen Hughes
11505,John Hughes
11523,Georges Méliès
11528,Jean Renoir
11572,Carl Theodor Dreyer
11614,M. Night Shyamalan
11649,Cameron Crowe
11694,Doug Liman
11701,Angelina Jolie
11770,John Carpenter
11777,Tommy Lee Wallace
11873,Roger Kumble
11887,Brad Silberling
11983,Alain Resnais
12011,William Castle
12028,John Moore
12058,Vicky Jenson
12079,Kelly Asbury
12080,Conrad Vernon
12095,Cody Cameron
12098,Chris Miller
12114,Michael Cimino
12180,Mamoru Oshii
12238,David Lean
12329,Vittorio De Sica
12453,Wong Kar-wai
12698,Bob Clark
12786,Simon West
12840,John Badham
12859,Steven Lisberger
12881,Gary Goldman
12890,Pete Docter
12891,Joss Whedon
12905,Ash Brannon
12936,Jim Abrahams
12962,Jon Turteltaub
12987,David Zucker
12988,Paul Michael Glaser
12989,Andrew Davis
12995,Marc Forster
13015,Phillip Noyce
13079,Gavin Hood
13235,Alexander Payne
13265,Franklin J. Schaffner
13284,Stanley Donen
13294,Gene Kelly
13426,Peter Segal
13484,Jim Sharman
13520,Aaron Sorkin
13524,Christopher Guest
13563,Norman Jewison
