tmdb,name
1290272,Dennis Widmyer
1293994,Jon Watts
1296522,Claire Scanlon
1299380,Nima Nourizadeh
1299642,Julius Avery
1301933,Julius Onah
1302082,David F. Sandberg
1302549,Susanna Fogel
1306608,Adam Robitel
1309008,Anna Rose Holmer
1317730,Daniel Scheinert
1323509,Zak Hilditch
1338249,Gary Dauberman
1341472,Jeff Tomsic
1347619,Severin Fiala
1362815,David Yarovesky
1371324,Lulu Wang
1383612,Daniel Kwan
1384266,Ian Samuels
1392433,Julia Ducournau
1393833,Crystal Moselle
1395183,Chloé Zhao
1397786,Yoann-Karl Whissell
1399841,Adil El Arbi
1399842,Bilall Fallah
1401474,Corin Hardy
1416383,Jim Cummings
1419579,Christian Rivers
1421414,Julia Hart
1422673,Jason Lei Howden
1423660,Trey Edward Shults
1443386,Brian Fee
1454563,Aaron Hann
1454564,Mario Miscione
1454941,László Nemes
1462214,David Sandberg
1466181,Hugh Welchman
1467926,Jennifer Fox
1475576,Rhys Thomas
1480320,Lars Klevberg
1480620,Lucia Aniello
1485381,Elijah Bynum
1485823,Thomas Kail
1545927,Nicolas Pesce
1546658,Tyler Nilson
1551346,Matthew Robinson
1551545,Steven Caple Jr.
1555636,Kogonada
1557607,Agnieszka Smoczyńska
1574550,Ali Abbasi
1579630,Will Graham
1586194,Jenny Gage
1607016,Coralie Fargeat
1607672,Michael Chaves
1609935,Melina Matsoukas
1609941,Todd Tourso
1609958,Dikayl Rimmasch
1620987,Cory Finley
1640646,Dave McCary
1657758,St. Vincent
1661862,William Oldroyd
1692687,Matthijs van Heijningen Jr.
1704882,Max Barbakow
1709468,Gerard McMurray
1719706,Aaron Horvath
1721377,Jennifer Kaytin Robinson
1731915,Kitty Green
1744211,Nzingha Stewart
1756398,John McPhail
1767030,Bob Logan
1773871,Dave Wilson
1774394,Joe Talbot
1779942,Everett Downing Jr.
1809041,Beth David
1809042,Esteban Bravo
1903167,Peter Rida Michail
1923202,Gustav Möller
1932178,Carlos López Estrada
1932296,Aneesh Chaganty
1936668,Cathy Yan
2009739,Domee Shi
2020100,Daniel Goldhaber
2026559,Madeleine Parry
2036264,Don Paul
2130029,Shinichiro Ueda
2186238,Andrew Patterson
2213046,Rosana Sullivan
2374023,Galder Gaztelu-Urrutia
2396600,Michael Schwartz
2584994,Will Scarbrough
2613838,Karen Rupert
2694134,Steven E. Rivkin
