movie_link,genre_id
star-wars-the-force-awakens,878
star-wars-the-force-awakens,14
creed,18
crimson-peak,18
crimson-peak,14
crimson-peak,27
crimson-peak,9648
crimson-peak,10749
crimson-peak,53
maze-runner-the-scorch-trials,28
maze-runner-the-scorch-trials,878
maze-runner-the-scorch-trials,53
everest-2015,12
everest-2015,18
everest-2015,28
the-man-from-uncle,35
the-man-from-uncle,28
the-man-from-uncle,12
sicario-2015,28
sicario-2015,80
sicario-2015,53
cinderella-2015,10749
cinderella-2015,14
cinderella-2015,10751
cinderella-2015,18
brooklyn,18
brooklyn,10749
me-and-earl-and-the-dying-girl,35
me-and-earl-and-the-dying-girl,18
the-witch-2015,9648
the-witch-2015,27
the-witch-2015,18
ex-machina-2014,18
ex-machina-2014,878
kingsman-the-secret-service,80
kingsman-the-secret-service,35
kingsman-the-secret-service,28
kingsman-the-secret-service,12
interstellar,12
interstellar,18
interstellar,878
love-rosie,35
love-rosie,10749
fury-2014,10752
fury-2014,18
fury-2014,28
gone-girl,9648
gone-girl,53
gone-girl,18
nightcrawler,80
nightcrawler,18
nightcrawler,53
goodnight-mommy,18
goodnight-mommy,27
goodnight-mommy,53
goodnight-mommy,9648
edge-of-tomorrow,28
edge-of-tomorrow,878
x-men-days-of-future-past,28
x-men-days-of-future-past,12
x-men-days-of-future-past,14
x-men-days-of-future-past,878
the-amazing-spider-man-2,28
the-amazing-spider-man-2,12
the-amazing-spider-man-2,14
the-grand-budapest-hotel,35
the-grand-budapest-hotel,18
whiplash-2014,18
whiplash-2014,10402
the-hunger-games-catching-fire,12
the-hunger-games-catching-fire,28
the-hunger-games-catching-fire,878
oculus,27
what-if-2013,18
what-if-2013,35
what-if-2013,10749
prisoners,18
prisoners,53
prisoners,80
world-war-z,28
world-war-z,18
world-war-z,27
world-war-z,878
world-war-z,53
only-god-forgives,18
only-god-forgives,53
only-god-forgives,80
inside-llewyn-davis,18
the-bling-ring,18
the-bling-ring,80
the-great-gatsby-2013,18
the-great-gatsby-2013,10749
star-trek-into-darkness,28
star-trek-into-darkness,12
star-trek-into-darkness,878
iron-man-3,28
iron-man-3,12
iron-man-3,878
short-term-12-2013,18
stoker,18
stoker,27
stoker,53
kill-your-darlings-2013,18
kill-your-darlings-2013,10749
kill-your-darlings-2013,53
looper,28
looper,53
looper,878
frankenweenie-2012,16
frankenweenie-2012,35
frankenweenie-2012,10751
the-perks-of-being-a-wallflower,18
anna-karenina-2012,18
anna-karenina-2012,10749
frances-ha,35
frances-ha,18
lawless,80
lawless,18
lawless,37
paranorman,10751
paranorman,16
paranorman,12
paranorman,35
ruby-sparks,35
ruby-sparks,10749
ruby-sparks,14
ruby-sparks,18
the-amazing-spider-man,28
the-amazing-spider-man,12
the-amazing-spider-man,14
moonrise-kingdom,35
moonrise-kingdom,18
moonrise-kingdom,10749
this-means-war,28
this-means-war,35
this-means-war,10749
young-adult,35
young-adult,18
the-twilight-saga-breaking-dawn-part-1,12
the-twilight-saga-breaking-dawn-part-1,14
the-twilight-saga-breaking-dawn-part-1,10749
the-muppets,35
the-muppets,10751
the-muppets,10402
the-ides-of-march,18
harry-potter-and-the-deathly-hallows-part-2,14
harry-potter-and-the-deathly-hallows-part-2,12
x-men-first-class,28
x-men-first-class,878
x-men-first-class,12
drive-2011,18
drive-2011,53
drive-2011,80
sucker-punch,28
sucker-punch,14
sucker-punch,53
harry-potter-and-the-deathly-hallows-part-1,12
harry-potter-and-the-deathly-hallows-part-1,14
the-social-network,18
the-kings-speech,18
the-kings-speech,36
black-swan,18
black-swan,53
black-swan,27
inception,28
inception,878
inception,12
the-twilight-saga-eclipse,12
the-twilight-saga-eclipse,14
the-twilight-saga-eclipse,18
the-twilight-saga-eclipse,10749
alice-in-wonderland-2010,10751
alice-in-wonderland-2010,14
alice-in-wonderland-2010,12
percy-jackson-the-olympians-the-lightning-thief,12
