movie_link,director_id
psycho,2636
north-by-northwest,2636
rear-window,2636
dial-m-for-murder,2636
stagecoach,8500
the-kid,13848
the-old-guard-2020,71947
da-5-bloods,5281
bombshell-2019,6737
jumanji-the-next-level,51851
terminator-dark-fate,55252
el-camino-a-breaking-bad-movie,66633
between-two-ferns-the-movie,162371
dolemite-is-my-name,53267
uncut-gems,129561
uncut-gems,227564
portrait-of-a-lady-on-fire,68813
john-wick-chapter-3-parabellum,40644
yesterday-2019,2034
the-old-man-the-gun,592493
the-favourite,122423
tag-2018,1341472
solo-a-star-wars-story,6159
avengers-infinity-war,19271
avengers-infinity-war,19272
ready-player-one,488
game-night,52935
game-night,1236679
annihilation,2036
sorry-to-bother-you,930526
phantom-thread,4762
star-wars-the-last-jedi,67367
jumanji-welcome-to-the-jungle,51851
thor-ragnarok,55934
the-snowman-2017,74396
battle-of-the-sexes-2017,16959
battle-of-the-sexes-2017,16960
brawl-in-cell-block-99,1018106
spider-man-homecoming,1293994
guardians-of-the-galaxy-vol-2,15218
the-disaster-artist,17051
atomic-blonde,40684
the-boss-baby,18864
logan-2017,366
john-wick-chapter-2,40644
rogue-one-a-star-wars-story,19242
rogue-one-a-star-wars-story,129894
allied,24
doctor-strange-2016,55499
free-fire,137467
kubo-and-the-two-strings,1033661
suicide-squad-2016,19769
ghostbusters-2016,116805
colossal-2016,118303
hell-or-high-water,3055
captain-america-civil-war,19271
captain-america-civil-war,19272
batman-v-superman-dawn-of-justice,15217
midnight-special,71872
hail-caesar-2016,1223
hail-caesar-2016,1224
swiss-army-man,1317730
swiss-army-man,1383612
the-hateful-eight,138
the-big-short,55710
ant-man,59026
terminator-genisys,47005
mad-max-fury-road,20629
avengers-age-of-ultron,12891
chappie,82194
john-wick,40644
john-wick,40684
inherent-vice,4762
guardians-of-the-galaxy,15218
lucy-2014,59
22-jump-street,107446
22-jump-street,155267
foxcatcher,5345
godzilla-2014,129894
captain-america-the-winter-soldier,19271
captain-america-the-winter-soldier,19272
neighbors-2014,52934
the-wolf-of-wall-street,1032
her,5953
under-the-skin-2013,66728
snowpiercer,21684
oz-the-great-and-powerful,7623
gangster-squad,91268
movie-43,2171
movie-43,7396
movie-43,9281
movie-43,15218
movie-43,32593
movie-43,11091
movie-43,52112
movie-43,141825
movie-43,938681
movie-43,938682
movie-43,1272994
movie-43,1579630
django-unchained,138
lincoln,488
wreck-it-ralph,165787
skyfall,39
the-master-2012,4762
the-dark-knight-rises,525
ted,52139
the-avengers-2012,12891
21-jump-street,107446
21-jump-street,155267
the-girl-with-the-dragon-tattoo-2011,7467
sherlock-holmes-a-game-of-shadows,956
haywire,1884
moneyball,5345
thor,11181
the-green-hornet,201
true-grit-2010,1223
true-grit-2010,1224
due-date,57130
easy-a,82511
scott-pilgrim-vs-the-world,11090
toy-story-3,8
certified-copy,119294
sherlock-holmes-2009,956
avatar,2710
where-the-wild-things-are,5953
the-invention-of-lying,17835
the-invention-of-lying,1551346
public-enemies-2009,638
the-hangover,57130
up,12890
adventureland,54733
i-love-you-man,17871
watchmen,15217
in-the-loop,88926
the-curious-case-of-benjamin-button,7467
synecdoche-new-york,202
tropic-thunder,7399
pineapple-express,64141
ponyo,608
walle,7
get-smart,13426
speed-racer,9339
speed-racer,9340
cloverfield,32278
walk-hard-the-dewey-cox-story,51851
the-darjeeling-limited,5655
the-assassination-of-jesse-james-by-the-coward-robert-ford,37618
superbad,54733
hot-rod,62854
the-simpsons-movie,197
ratatouille,7087
death-proof,138
no-country-for-old-men,1223
no-country-for-old-men,1224
spider-man-3,7623
planet-terror,2294
grindhouse,2294
grindhouse,138
grindhouse,11090
grindhouse,16847
grindhouse,16848
hot-fuzz,11090
the-prestige,525
stranger-than-fiction-2006,12995
talladega-nights-the-ballad-of-ricky-bobby,55710
clerks-ii,19303
inside-man,5281
king-kong-2005,108
the-40-year-old-virgin,41039
star-wars-episode-iii-revenge-of-the-sith,1
the-life-aquatic-with-steve-zissou,5655
sideways,13235
anchorman-the-legend-of-ron-burgundy,55710
the-notebook,11151
spider-man-2,7623
dodgeball-a-true-underdog-story,57633
kill-bill-vol-2,138
kung-fu-hustle,57607
before-sunset,564
the-matrix-revolutions,9339
the-matrix-revolutions,9340
elf,15277
kill-bill-vol-1,138
elephant-2003,5216
lost-in-translation,1769
the-room,81916
the-matrix-reloaded,9339
the-matrix-reloaded,9340
catch-me-if-you-can-2002,488
adaptation,5953
equilibrium,13927
die-another-day,7256
jackass-the-movie,56578
punch-drunk-love,4762
oceans-eleven-2001,1884
jay-and-silent-bob-strike-back,19303
spirited-away,608
mulholland-drive,5602
wet-hot-american-summer,22214
cast-away,24
how-the-grinch-stole-christmas-2000,6159
best-in-show,13524
o-brother-where-art-thou,1223
in-the-mood-for-love,12453
crouching-tiger-hidden-dragon,1614
gladiator-2000,578
man-on-the-moon,3974
the-world-is-not-enough,10781
dogma,19303
toy-story-2,7879
american-beauty,39
being-john-malkovich,5953
the-iron-giant,7087
wild-wild-west,5174
big-daddy,17494
election,13235
the-matrix,9339
the-matrix,9340
office-space,17403
a-bugs-life,7879
armageddon,865
out-of-sight,1884
the-truman-show,2690
fear-and-loathing-in-las-vegas,280
godzilla-1998,6046
lock-stock-and-two-smoking-barrels,956
the-big-lebowski,1223
tomorrow-never-dies,1724
jackie-brown,138
boogie-nights,4762
the-game,7467
face-off,11401
batman-robin,5572
the-fifth-element,59
chasing-amy,19303
scream,5140
independence-day,6046
the-cable-guy,7399
twister,2209
the-craft,41549
fargo,1223
bottle-rocket-1996,5655
happy-gilmore,17494
heat-1995,638
goldeneye,10702
toy-story,7879
mallrats,19303
to-die-for,5216
kids,51917
batman-forever,5572
billy-madison,57691
clerks,19303
natural-born-killers,1152
pulp-fiction,138
chungking-express,12453
dazed-and-confused,564
the-age-of-innocence,1032
the-fugitive-1993,12989
robin-hood-men-in-tights,14639
jurassic-park,488
groundhog-day,1524
army-of-darkness,7623
glengarry-glen-ross,15890
a-league-of-their-own,14911
twin-peaks-fire-walk-with-me,5602
hard-boiled,11401
waynes-world,58448
reservoir-dogs,138
jfk,1152
terminator-2-judgment-day,2710
the-silence-of-the-lambs,16294
the-godfather-part-iii,1776
rocky-v,16513
home-alone,10965
millers-crossing,1223
goodfellas,1032
twin-peaks,5602
sex-lies-and-videotape,1884
kikis-delivery-service,608
licence-to-kill,10179
batman-1989,510
ghostbusters-ii,8858
the-last-temptation-of-christ,1032
midnight-run,769
akira,185
akira,110684
die-hard,1090
who-framed-roger-rabbit,24
my-neighbor-totoro,608
beetlejuice,510
the-running-man,12988
the-princess-bride,3026
robocop,10491
the-living-daylights,10179
spaceballs,14639
the-untouchables,1150
evil-dead-ii,7623
raising-arizona,1223
manhunter,638
police-story,18897
pee-wees-big-adventure,510
back-to-the-future,24
ran,5026
a-view-to-a-kill,10179
mishima-a-life-in-four-chapters,1035
the-breakfast-club,11505
the-terminator,2710
ghostbusters,8858
this-is-spinal-tap,3026
repo-man,31493
scarface-1983,1150
trading-places,4610
return-of-the-jedi,19800
tootsie,2226
tron,12859
the-evil-dead,7623
raiders-of-the-lost-ark,488
escape-from-new-york,11770
thief,638
raging-bull,1032
the-blues-brothers,4610
the-empire-strikes-back,10930
all-that-jazz,66777
moonraker,10076
stalker,8452
house,132305
the-spy-who-loved-me,10076
sorcerer,15175
star-wars,1
eraserhead,5602
carrie-1976,1150
network,39996
all-the-presidents-men,6349
barry-lyndon,240
jaws,488
nashville,9789
jeanne-dielman-23-quai-du-commerce-1080-bruxelles,130030
monty-python-and-the-holy-grail,280
monty-python-and-the-holy-grail,10707
the-man-with-the-golden-gun,9915
blazing-saddles,14639
badlands,30715
the-long-goodbye,9789
solaris,8452
a-clockwork-orange,240
diamonds-are-forever,9915
the-french-connection,15175
the-last-picture-show,39012
mccabe-mrs-miller,9789
mash,9789
on-her-majestys-secret-service,9868
the-wild-bunch,7767
midnight-cowboy,19304
easy-rider,2778
2001-a-space-odyssey,240
playtime,5763
the-producers,14639
le-samourai,3831
bonnie-and-clyde,6448
you-only-live-twice,10076
thunderball,9855
goldfinger,9915
band-of-outsiders,3776
a-hard-days-night,10586
dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,240
from-russia-with-love,9855
the-great-escape,14520
the-birds,2636
dr-no,9855
cleo-from-5-to-7,6817
yojimbo,5026
spartacus,240
breathless,3776
hiroshima-mon-amour,11983
some-like-it-hot,3146
touch-of-evil,40
sweet-smell-of-success,14566
12-angry-men,39996
throne-of-blood,5026
the-killing,240
the-night-of-the-hunter,10921
rififi,14227
godzilla,18598
seven-samurai,5026
ikiru,5026
all-about-eve,10601
rashomon,5026
the-third-man,15378
bicycle-thieves,12329
its-a-wonderful-life,2662
the-big-sleep,11435
notorious,2636
brief-encounter,12238
double-indemnity,3146
cat-people,10146
casablanca,4109
citizen-kane,40
his-girl-friday,11435
the-wizard-of-oz-1939,9049
the-39-steps,2636
it-happened-one-night,2662
duck-soup-1933,30008
m,68
the-passion-of-joan-of-arc,11572
judy-2019,150098
waves-2019,1423660
ad-astra-2019,20561
a-hidden-life-2019,30715
guava-island,1199903
the-last-black-man-in-san-francisco,1774394
the-lego-movie-2-the-second-part,64151
the-grinch,20503
the-grinch,61300
ralph-breaks-the-internet,165787
ralph-breaks-the-internet,567562
mid90s,21007
roma-2018,11218
ant-man-and-the-wasp,59026
burning-2018,96657
blackkklansman,5281
isle-of-dogs-2018,5655
leave-no-trace,121873
blindspotting,1932178
the-post-2017,488
bright,19769
the-greatest-showman,1276373
wonder-2017,19311
coco-2017,8
the-lego-ninjago-movie,934181
the-lego-ninjago-movie,1218988
the-lego-ninjago-movie,1767030
mollys-game,13520
first-reformed,1035
war-for-the-planet-of-the-apes,32278
despicable-me-3,8023
despicable-me-3,124747
you-were-never-really-here,83287
the-florida-project,118415
alien-covenant,578
life-2017,125738
beauty-and-the-beast-2017,15557
the-lego-batman-movie,144816
a-ghost-story-2017,592493
